productType,company,color,hex
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-3-pack,#666
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-1002-french-pink,#f6f1f5
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-1033-bordeaux-lips,#591021
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-1096-milky-white,#f4f4f4
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-soft-spoken-nail-polish-1076-less-but-better,#e6d4d2
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-soft-spoken-nail-polish-1075-sparkling-simplicity,#e7ced1
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-soft-spoken-nail-polish-1073-in-a-gentle-way,#a48074
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-fall-collection-outfit-of-the-day,#4a0a1b
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-fall-collection-1062-heal-your-chi,#c3beaa
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-fall-collection-1060-relax-your-body,#dcc4c0
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-sculpture-1110-pink-sculpt,#e0b6c0
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-sculpture-1111-ocean-shape,#48609e
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-sculpture-1109-magenta-carving,#b02961
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nature-strong-nail-polish-base-coat,#f7f7f7
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nail-lacquer-mexico-city-collection-mexico-city-move-mint,#f7f7f7
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-infinite-shine-nail-polish-passion2,#EFC5BE
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-infinite-shine-nail-polish-at-strong-last,#DB636D
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-infinite-shine-nail-polish-lady-in-black,#5F5F5F
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nature-strong-nail-polish-knowledge-is-flower,#C37790
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nature-strong-nail-polish-intentions-are-rose-gold,#BC8987
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nature-strong-nail-polish-let-nature-take-its-quartz,#F3C6C8
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nail-lacquer-bubble-bath,#f3d7d4
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nail-lacquer-put-it-in-neutral,#e3bcbd
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nail-lacquer-malaga-wine,#8f1836
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nail-lacquer-your-way-collection-glazed-n-amused,#EFCCD9
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nail-lacquer-your-way-collection-gliterally-shimmer,#E8DDBE
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-nail-lacquer-your-way-collection-snatchd-silver,#DDDCDC
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-infinite-shine-holiday-collection-millenniyum,#28a0b8
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-infinite-shine-holiday-collection-its-the-shiz,#7D7C7C
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-infinite-shine-holiday-collection-opim-phosphorescent,#85AD6C
Nail Polish,seche,/seche/makeup/negler/neglelakk/seche-seche-vite-dry-fast-top-coat,#f7f7f7
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-base-coat,#f7f7f7
Nail Polish,depend,/depend/makeup/negler/neglelakk/depend-gel-iq-nail-polish-1999-top-coat-step,#f7f7f7
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-rapidry-top-coat-15-ml,#f7f7f7
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-natural-nail-base-coat-base-coat,#f7f7f7
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-mirror-shine-top-coat-15-ml,#f7f7f7
Nail Polish,opi,/opi/makeup/negler/neglelakk/opi-top-coat,#f7f7f7
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-mini-nail-polish-151-marron-glace,#876967
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-mini-nail-polish-006-osaka,#f5ddde
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-mini-nail-polish-072-nice,#d84637
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-mini-nail-polish-063-acapulco,#862023
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-mini-nail-polish-yummy-colors-collection-457-yummy-berry,#6C8ECA
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-mini-nail-polish-yummy-colors-collection-459-yummy-pomelo,#FCAFCB
Nail Polish,essie,/essie/makeup/negler/neglelakk/essie-nail-polish-13-mademoiselle,#F3D5D7
Nail Polish,essie,/essie/makeup/negler/neglelakk/essie-nail-polish-18-pink-diamond,#F6A5BA
Nail Polish,essie,/essie/makeup/negler/neglelakk/essie-nail-polish-06-ballet-slippers,#FDDDD8
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-super-base-5-ml,#f7f7f7
Nail Polish,atelier-rouge,/atelier-rouge/makeup/negler/neglelakk/atelier-rouge-nail-polish-8ml-143-mocha-magnifique,#7d6658
Nail Polish,atelier-rouge,/atelier-rouge/makeup/negler/neglelakk/atelier-rouge-nail-polish-8ml-101-noir-forever,#000
Nail Polish,atelier-rouge,/atelier-rouge/makeup/negler/neglelakk/atelier-rouge-nail-polish-8ml-144-hazel-gaze,#9a6f57
Nail Polish,isadora,/isadora/makeup/negler/neglelakk/isadora-wonder-nail-polish-106-milkshake,#e0cfcf
Nail Polish,isadora,/isadora/makeup/negler/neglelakk/isadora-wonder-nail-polish-199-glace,#c3adab
Nail Polish,isadora,/isadora/makeup/negler/neglelakk/isadora-wonder-nail-polish-163-summer-red,#85031b
Nail Polish,mavala,/mavala/makeup/negler/neglelakk/mavala-top-coat-fixator-5-ml,#f7f7f7
Nail Polish,chanel,/chanel/makeup/negler/neglelakk/chanel-longwear-nail-colour-155-rouge-noir,#573337
Nail Polish,chanel,/chanel/makeup/negler/neglelakk/chanel-longwear-nail-colour-175-skieuse,#F3ACAF
Nail Polish,chanel,/chanel/makeup/negler/neglelakk/chanel-longwear-nail-colour-153-pompier,#881E37
