productType,company,brand,color,r,g,b
Lipstick,all-i-am-beauty,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-flirty-pink,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-flirty-pink,154,96,97
Lipstick,all-i-am-beauty,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-flirty-pink,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-lady-posh,146,81,76
Lipstick,all-i-am-beauty,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-flirty-pink,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-rose-icon,154,96,97
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,192,131,118
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-dusty-rose,174,86,91
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-taupe-beige,172,96,95
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-rose-dream,193,83,100
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-hush-rose,179,90,93
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-kiss,201,134,124
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-pure-hollywood,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-pure-hollywood,194,119,108
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-pure-hollywood,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-hush-rose,152,96,95
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-pure-hollywood,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-rosy-mauve,194,119,108
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-hush-rose,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-hush-pink,211,125,125
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-hush-rose,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-royal-red,185,52,74
Lipstick,anastasia,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-hush-rose,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-sugar-plum,151,51,60
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-502-desire,/armani/makeup/lepper/leppestift/armani-lip-power-502-desire,204,93,98
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-502-desire,/armani/makeup/lepper/leppestift/armani-lip-power-104-selfless,223,150,144
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-502-desire,/armani/makeup/lepper/leppestift/armani-lip-power-109-intimate,191,107,102
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-502-desire,/armani/makeup/lepper/leppestift/armani-lip-power-103-androgino,238,137,123
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-502-desire,/armani/makeup/lepper/leppestift/armani-lip-power-matte-603,159,33,37
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,197,107,114
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-11,204,10,40
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-13,151,43,35
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-2,197,107,114
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-400-the-red,134,0,10
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,/armani/makeup/lepper/leppestift/armani-lip-maestro-405-sultan,247,247,247
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-matte-603,/armani/makeup/lepper/leppestift/armani-lip-power-matte-207,123,61,61
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-matte-603,/armani/makeup/lepper/leppestift/armani-lip-power-matte-308,223,9,56
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-power-matte-603,/armani/makeup/lepper/leppestift/armani-lip-power-matte-111,198,128,122
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-400-the-red,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-500-blush,166,71,74
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-400-the-red,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-402-chinese-lacquer,176,11,20
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-400-the-red,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-206-cedar,135,41,22
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-liquid-lipstick-400-the-red,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-14,247,247,247
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-14,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-15,247,247,247
Lipstick,armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-14,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-16,247,247,247
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-lip-filler-base-2-g,/artdeco/makeup/lepper/leppestift/artdeco-lip-filler-base-2-g,247,247,247
Lipstick,artdeco,/artdeco/makeup/lepper/leppestift/artdeco-lip-filler-base-2-g,/artdeco/makeup/lepper/leppestift/artdeco-perfect-color-lipstick-820-creamy-rosewood,152,85,90
