company,color,r,g,b
all-i-am-beauty,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-flirty-pink,154,96,97
all-i-am-beauty,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-lady-posh,146,81,76
all-i-am-beauty,/all-i-am-beauty/makeup/lepper/leppestift/all-i-am-beauty-lipstick-rose-icon,154,96,97
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-haze,192,131,118
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-dusty-rose,174,86,91
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-taupe-beige,172,96,95
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-satin-lipstick-rose-dream,193,83,100
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-hush-rose,179,90,93
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-kiss,201,134,124
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-pure-hollywood,194,119,108
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-hush-rose,152,96,95
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-lip-velvet-rosy-mauve,194,119,108
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-hush-pink,211,125,125
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-royal-red,185,52,74
anastasia,/anastasia/makeup/lepper/leppestift/anastasia-matte-lipstick-sugar-plum,151,51,60
armani,/armani/makeup/lepper/leppestift/armani-lip-power-502-desire,204,93,98
armani,/armani/makeup/lepper/leppestift/armani-lip-power-104-selfless,223,150,144
armani,/armani/makeup/lepper/leppestift/armani-lip-power-109-intimate,191,107,102
armani,/armani/makeup/lepper/leppestift/armani-lip-power-103-androgino,238,137,123
armani,/armani/makeup/lepper/leppestift/armani-lip-power-matte-603,159,33,37
armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-1,197,107,114
armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-11,204,10,40
armani,/armani/makeup/lepper/leppestift/armani-lip-maestro-satin-lipstick-13,151,43,35
